X,Y,NAME,INTERSECTION_TYPE,WARD,STATUS,STREET_1_NAME,STREET_1_TYPE,STREET_1_QUADRANT,STREET_1_FULL,STREET_2_NAME,STREET_2_TYPE,STREET_2_QUADRANT,STREET_2_FULL,LATITUDE,LONGITUDE,X_COORDINATE,Y_COORDINATE,ROUTEID_1,ROUTEID_2,INTERSECTIONKEY,MAR_ID,NATIONAL_GRID,METADATA_ID,SOURCE,BEFORE_DATE,BEFORE_DATE_SOURCE,BEGIN_DATE,BEGIN_DATE_SOURCE,FIRST_KNOWN_DATE,FIRST_KNOWN_DATE_SOURCE,CREATED_DATE,CREATED_USER,LAST_EDITED_DATE,LAST_EDITED_USER,OBJECTID
-8577954.437986,4708459.00541594,28TH STREET NW AND DUMBARTON STREET NW,REGULAR,Ward 2,ACTIVE,28TH,STREET,NW,28TH STREET NW,DUMBARTON,STREET,NW,DUMBARTON STREET NW,38.9076922503835,-77.0570734791646,395049.76002536,137760.75097327,,,7a114f5e771fc0e6c61b3887f569290a,902160,18S UJ 21635 08545,16277800,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9567740
-8577954.437986,4708459.00541594,DUMBARTON STREET NW AND 28TH STREET NW,REGULAR,Ward 2,ACTIVE,DUMBARTON,STREET,NW,DUMBARTON STREET NW,28TH,STREET,NW,28TH STREET NW,38.9076922503835,-77.0570734791646,395049.76002536,137760.75097327,,,7a114f5e771fc0e6c61b3887f569290a,902160,18S UJ 21635 08545,16278243,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9567741
-8569489.36966173,4707891.69965963,BLADENSBURG ROAD NE AND L STREET NE,REGULAR,Ward 5,ACTIVE,BLADENSBURG,ROAD,NE,BLADENSBURG ROAD NE,L,STREET,NE,L STREET NE,38.9037264900318,-76.9810305008638,401645.40169548,137319.14284486,,,63e152ab9c27a8c239da53197ee6da24,902921,18S UJ 28220 07958,16287366,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9567742
-8569489.36966173,4707891.69965963,L STREET NE AND BLADENSBURG ROAD NE,REGULAR,Ward 5,ACTIVE,L,STREET,NE,L STREET NE,BLADENSBURG,ROAD,NE,BLADENSBURG ROAD NE,38.9037264900318,-76.9810305008638,401645.40169548,137319.14284486,,,63e152ab9c27a8c239da53197ee6da24,902921,18S UJ 28220 07958,16287579,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9567743
-8575825.32947421,4707179.47233528,WEST EXECUTIVE AVENUE NW AND JACKSON PLACE NW,REGULAR,Ward 2,ACTIVE,WEST EXECUTIVE,AVENUE,NW,WEST EXECUTIVE AVENUE NW,JACKSON,PLACE,NW,JACKSON PLACE NW,38.898747343978,-77.037947378841,396708.2399949,136766.93081235,,,82a6c3fb7573e9e434bd213c5c4375cd,907708,18S UJ 23271 07515,16276439,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775792
-8574721.22361868,4715402.96702577,KENNEDY STREET NW AND GEORGIA AVENUE NW,REGULAR,Ward 4,ACTIVE,KENNEDY,STREET,NW,KENNEDY STREET NW,GEORGIA,AVENUE,NW,GEORGIA AVENUE NW,38.9562161488709,-77.0280290265666,397570.5700117,143146.15001827,,,099433219972b77930d61e39ed126b40,901789,18S UJ 24273 13874,16276903,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775793
-8574721.22361868,4715402.96702577,GEORGIA AVENUE NW AND KENNEDY STREET NW,REGULAR,Ward 4,ACTIVE,GEORGIA,AVENUE,NW,GEORGIA AVENUE NW,KENNEDY,STREET,NW,KENNEDY STREET NW,38.9562161488709,-77.0280290265666,397570.5700117,143146.15001827,,,099433219972b77930d61e39ed126b40,901789,18S UJ 24273 13874,16282585,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775794
-8567531.92758996,4712395.14909779,RHODE ISLAND AVENUE NE AND OTIS STREET NE,REGULAR,Ward 5,ACTIVE,RHODE ISLAND,AVENUE,NE,RHODE ISLAND AVENUE NE,OTIS,STREET,NE,OTIS STREET NE,38.9352018088875,-76.9634465036033,403169.22675289,140813.63152011,,,d7c75dc1ec5bcd6e6034b8efad65947e,905467,18S UJ 29820 11419,16280041,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775795
-8567531.92758996,4712395.14909779,EASTERN AVENUE NE AND OTIS STREET NE,REGULAR,Ward 5,ACTIVE,EASTERN,AVENUE,NE,EASTERN AVENUE NE,OTIS,STREET,NE,OTIS STREET NE,38.9352018088875,-76.9634465036033,403169.22675289,140813.63152011,,,d7c75dc1ec5bcd6e6034b8efad65947e,905467,18S UJ 29820 11419,16280042,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775796
-8567531.92758996,4712395.14909779,OTIS STREET NE AND RHODE ISLAND AVENUE NE,REGULAR,Ward 5,ACTIVE,OTIS,STREET,NE,OTIS STREET NE,RHODE ISLAND,AVENUE,NE,RHODE ISLAND AVENUE NE,38.9352018088875,-76.9634465036033,403169.22675289,140813.63152011,,,d7c75dc1ec5bcd6e6034b8efad65947e,905467,18S UJ 29820 11419,16280630,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775797
-8567531.92758996,4712395.14909779,EASTERN AVENUE NE AND RHODE ISLAND AVENUE NE,REGULAR,Ward 5,ACTIVE,EASTERN,AVENUE,NE,EASTERN AVENUE NE,RHODE ISLAND,AVENUE,NE,RHODE ISLAND AVENUE NE,38.9352018088875,-76.9634465036033,403169.22675289,140813.63152011,,,d7c75dc1ec5bcd6e6034b8efad65947e,905467,18S UJ 29820 11419,16283776,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775798
-8567531.92758996,4712395.14909779,OTIS STREET NE AND EASTERN AVENUE NE,REGULAR,Ward 5,ACTIVE,OTIS,STREET,NE,OTIS STREET NE,EASTERN,AVENUE,NE,EASTERN AVENUE NE,38.9352018088875,-76.9634465036033,403169.22675289,140813.63152011,,,d7c75dc1ec5bcd6e6034b8efad65947e,905467,18S UJ 29820 11419,16286453,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775799
-8567531.92758996,4712395.14909779,RHODE ISLAND AVENUE NE AND EASTERN AVENUE NE,REGULAR,Ward 5,ACTIVE,RHODE ISLAND,AVENUE,NE,RHODE ISLAND AVENUE NE,EASTERN,AVENUE,NE,EASTERN AVENUE NE,38.9352018088875,-76.9634465036033,403169.22675289,140813.63152011,,,d7c75dc1ec5bcd6e6034b8efad65947e,905467,18S UJ 29820 11419,16288573,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775800
-8572527.00057664,4709267.79757489,RANDOLPH PLACE NE AND LINCOLN ROAD NE,REGULAR,Ward 5,ACTIVE,RANDOLPH,PLACE,NE,RANDOLPH PLACE NE,LINCOLN,ROAD,NE,LINCOLN ROAD NE,38.9133457376787,-77.008317994541,399278.59999728,138386.81999785,,,5af286710d27f3f640129328c5db06cf,911383,18S UJ 25877 09078,16289223,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775801
-8582373.03884926,4710255.63192395,49TH STREET NW AND ASHBY STREET NW,REGULAR,Ward 3,ACTIVE,49TH,STREET,NW,49TH STREET NW,ASHBY,STREET,NW,ASHBY STREET NW,38.9202501312371,-77.0967664335278,391608.48997417,139157.68003057,,,3aa0a5a143c82578b960cfc6c15a0650,901057,18S UJ 18225 10017,16281120,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775802
-8582373.03884926,4710255.63192395,ASHBY STREET NW AND 49TH STREET NW,REGULAR,Ward 3,ACTIVE,ASHBY,STREET,NW,ASHBY STREET NW,49TH,STREET,NW,49TH STREET NW,38.9202501312371,-77.0967664335278,391608.48997417,139157.68003057,,,3aa0a5a143c82578b960cfc6c15a0650,901057,18S UJ 18225 10017,16286426,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775803
-8580287.81218618,4713534.3995667,VAN NESS STREET NW AND 40TH PLACE NW,REGULAR,Ward 3,ACTIVE,VAN NESS,STREET,NW,VAN NESS STREET NW,40TH,PLACE,NW,40TH PLACE NW,38.9431620016992,-77.0780345279299,393235.07999168,141699.54000093,,,fb5a5227c7e1352ad99d31c7ee2083a7,905513,18S UJ 19907 12522,16286320,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775804
-8580287.81218618,4713534.3995667,40TH PLACE NW AND VAN NESS STREET NW,REGULAR,Ward 3,ACTIVE,40TH,PLACE,NW,40TH PLACE NW,VAN NESS,STREET,NW,VAN NESS STREET NW,38.9431620016992,-77.0780345279299,393235.07999168,141699.54000093,,,fb5a5227c7e1352ad99d31c7ee2083a7,905513,18S UJ 19907 12522,16291218,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775805
-8571349.38318824,4701977.30298508,SUITLAND PARKWAY SE AND FIRTH STERLING AVENUE SE,REGULAR,Ward 8,ACTIVE,SUITLAND,PARKWAY,SE,SUITLAND PARKWAY SE,FIRTH STERLING,AVENUE,SE,FIRTH STERLING AVENUE SE,38.8623686320609,-76.997739283715,400196.20671814,132727.9342006,,,c69def71cbf0bce6209ee2965c88cbea,906949,18S UJ 26670 03400,16274582,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775806
-8571349.38318824,4701977.30298508,FIRTH STERLING AVENUE SE AND SUITLAND PARKWAY SE,REGULAR,Ward 8,ACTIVE,FIRTH STERLING,AVENUE,SE,FIRTH STERLING AVENUE SE,SUITLAND,PARKWAY,SE,SUITLAND PARKWAY SE,38.8623686320609,-76.997739283715,400196.20671814,132727.9342006,,,c69def71cbf0bce6209ee2965c88cbea,906949,18S UJ 26670 03400,16276452,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775807
-8568726.31446638,4712533.19086261,PERRY STREET NE AND 22ND STREET NE,REGULAR,Ward 5,ACTIVE,PERRY,STREET,NE,PERRY STREET NE,22ND,STREET,NE,22ND STREET NE,38.9361663844104,-76.9741758593357,402238.95001603,140920.39001621,,,2d3dce202af8e3172e398eca8c5972be,901759,18S UJ 28892 11546,16277645,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775808
-8568726.31446638,4712533.19086261,22ND STREET NE AND PERRY STREET NE,REGULAR,Ward 5,ACTIVE,22ND,STREET,NE,22ND STREET NE,PERRY,STREET,NE,PERRY STREET NE,38.9361663844104,-76.9741758593357,402238.95001603,140920.39001621,,,2d3dce202af8e3172e398eca8c5972be,901759,18S UJ 28892 11546,16285533,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775809
-8579280.03854608,4715300.03978691,GARRISON STREET NW AND 36TH STREET NW,REGULAR,Ward 3,ACTIVE,GARRISON,STREET,NW,GARRISON STREET NW,36TH,STREET,NW,36TH STREET NW,38.9554971445929,-77.0689815451611,394020.9300084,143068.2200022,,,d793fc8d456bcf6232da54bcead63031,910868,18S UJ 20723 13874,16283603,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775810
-8584324.77404715,4712452.60620574,NORTON STREET NW AND DALECARLIA PLACE NW,REGULAR,Ward 3,ACTIVE,NORTON,STREET,NW,NORTON STREET NW,DALECARLIA,PLACE,NW,DALECARLIA PLACE NW,38.9356033010875,-77.1142991625478,390090.19998876,140863.77001615,,,4f32025d90aae84d84c3dc61b0130adb,911312,18S UJ 16744 11756,16283662,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775811
-8568466.75347431,4711018.16651533,MILLS AVENUE NE AND FRANKLIN STREET NE,REGULAR,Ward 5,ACTIVE,MILLS,AVENUE,NE,MILLS AVENUE NE,FRANKLIN,STREET,NE,FRANKLIN STREET NE,38.9255793423781,-76.9718441853812,402441.46835222,139745.19663911,,,516d1e7c2699c843340fee3dbb136777,911415,18S UJ 29069 10366,16277449,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775812
-8573610.54671857,4711594.91779695,IRVING STREET NW AND PARK PLACE NW,REGULAR,,ACTIVE,IRVING,STREET,NW,IRVING STREET NW,PARK,PLACE,NW,PARK PLACE NW,38.9296098877834,-77.0180516511277,398434.7799965,140192.39999953,,,63784d5f07efdf15ed7e629afb2c9d5f,906694,18S UJ 25073 10901,16282191,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775813
-8573610.54671857,4711594.91779695,PARK PLACE NW AND IRVING STREET NW,REGULAR,,ACTIVE,PARK,PLACE,NW,PARK PLACE NW,IRVING,STREET,NW,IRVING STREET NW,38.9296098877834,-77.0180516511277,398434.7799965,140192.39999953,,,63784d5f07efdf15ed7e629afb2c9d5f,906694,18S UJ 25073 10901,16285782,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775814
-8574484.46207268,4709647.44666817,VERMONT AVENUE NW AND 10TH STREET NW,REGULAR,Ward 1,ACTIVE,VERMONT,AVENUE,NW,VERMONT AVENUE NW,10TH,STREET,NW,10TH STREET NW,38.9159993451028,-77.0259021646708,397753.6501,138681.6783,,,,914793,18S UJ 24359 09406,16272640,,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775815
-8577278.33054335,4706773.92901686,E STREET EXPRESSWAY NW WESTBOUND AND RAMP TO INTERSTATE 66 EASTBOUND,RAMP,Ward 2,ACTIVE,E STREET,EXPRESSWAY,NW,E STREET EXPRESSWAY NW,INTERSTATE 66,INTERSTATE,,INTERSTATE 66,38.8959120538807,-77.0509999054298,395575.8178125,136452.7426875,,,184aa5ed7eb474a60c1ac2613d527c4f,913317,18S UJ 22132 07225,16274987,DC GIS,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775816
-8571665.21823549,4704461.18176082,4TH STREET SE AND VIRGINIA AVENUE SE,REGULAR,Ward 6,ACTIVE,4TH,STREET,SE,4TH STREET SE,VIRGINIA,AVENUE,SE,VIRGINIA AVENUE SE,38.8797406911188,-77.0005764761398,399949.98002991,134656.35999439,,,574234021bd3bbd07f37c81a909aecf1,903393,18S UJ 26466 05333,16276576,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775817
-8571665.21823549,4704461.18176082,VIRGINIA AVENUE SE AND 4TH STREET SE,REGULAR,Ward 6,ACTIVE,VIRGINIA,AVENUE,SE,VIRGINIA AVENUE SE,4TH,STREET,SE,4TH STREET SE,38.8797406911188,-77.0005764761398,399949.98002991,134656.35999439,,,574234021bd3bbd07f37c81a909aecf1,903393,18S UJ 26466 05333,16290122,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775818
-8578594.49087637,4708165.11044933,WISCONSIN AVENUE NW AND OAK ALLEY NW,ALLEY,Ward 2,ACTIVE,WISCONSIN,AVENUE,NW,WISCONSIN AVENUE NW,OAK,ALLEY,NW,OAK ALLEY NW,38.9056378019631,-77.0628231707333,394550.9065,137533.018,,,d159c63a2fd5ab10cf4e276ac4b4c368,913557,18S UJ 21131 08328,16274620,DDOT,,,,,,,2025/01/02 23:36:48+00,DLUSER,2025/01/02 23:36:48+00,DLUSER,9775819
