X,Y,INTERSECTIONID,ROUTEID,MEASURE,INTERSECTIONNAME,GRADE,INTERSECTIONKEY,ACISA,SE_ANNO_CAD_DATA,OBJECTID
-8574689.54499029,4711604.23676887,11001102_11052322,11052322,1066.89697266,KENYON ST NW & 11TH ST NW,13,42c6bf548959a605cb811ea0f0e759c6,5028,,4895430
-8573643.41906181,4710611.19661337,11000402_11046672_11060182,11060182,491.63000488,MCMILLAN DR NW & HOWARD PL NW & 4TH ST NW,13,0354bbc7d80bc42167c1382bb2b03e3a,3240,,4895444
-8572256.40500138,4707718.39692461,12000102_12050892,12000102,1337.4510498,1ST ST NE & K ST NE,,40736cafb4216780e39074395946fe5a,2161,,4895449
-8575244.55811994,4712663.6944422,11001402_11081832,11081832,690.7880249,SPRING RD NW & 14TH ST NW,13,b65e64d79d058905a412a01497125dc7,5071,,4895463
-8574898.93372156,4708585.28047894,11001302_11065842_36000032_36001452,36000032,0,Ramp-36000032 & Ramp-36001452 & O ST NW & 13TH ST NW,13,62f4b95771fa91f26711777f2a3bbfbb,2247,,4895470
-8570584.55423008,4709131.27991647,12062462_36005422,12062462,118.13300323,MOUNT OLIVET RD NE & Ramp-36005422,13,158563882ccef9690324d10e86bc679d,3176,,4895473
-8575167.45408975,4710604.13482273,11001402_11024112,11024112,431.38800049,CLIFTON ST NW & 14TH ST NW,13,a4b57f457231043a2a4fceb0a6596f56,5054,,4895477
-8581193.70973378,4712738.16155253,11063762_11090702*1,11063762,1123.33398438,NEBRASKA AVE NW & WARD CIR NW,13,b99df8c28614c2005b59b74c7e133275,6157,,4895497
-8580470.29422538,4714213.88009636,11009492_11094052,11009492,2347.75708008,ALBEMARLE ST NW & WISCONSIN AVE NW,13,fe95b644f0cbdfef91948d510c084a4d,6130,,4895507
-8574493.48943372,4708165.92410995,11001002_11057852,11001002,1505.59802246,10TH ST NW & M ST NW,,de37d14cb54cc657a2cc62fcf07f38c2,2094,,4895508
-8574898.30945412,4709374.02800221,11001302_11077672,11077672,1675.67797852,S ST NW & 13TH ST NW,,ac02475e34996a5264fdf0de04c52ab3,2144,,4895517
-8570851.88801504,4714500.31724103,12028602_12081442,12081442,4867.12207031,SOUTH DAKOTA AVE NE & DELAFIELD ST NE,13,cb89ca0dcf6a35f2c86814c6e5b090c3,3206,,4895521
-8577593.28568896,4707236.52419679,11002502A_11089892,11089892,1384.61303711,VIRGINIA AVE NW & 25TH ST NW,13,07bd60c2e25615a823ba1f9e7b2abe43,1187,,4895524
-8583526.09304885,4710906.34432175,11010922_11020212,11020212,4153.49804688,CANAL RD NW & ARIZONA AVE NW,,189b9169085b2c0f7e1e2df3ec0fdc9c,6057,,4895530
-8577082.43339147,4707695.76195819,36001812_36003882_36004902_36004922,36004902,0,Ramp-36004902 & Ramp-36001812 & Ramp-36003882 & Ramp-36004922,13,2a6c8968e3fe696f69ca8b166046cb5c,1196,,4895536
-8580739.85508294,4712385.47125489,11059602_58001342,11059602,7266.0390625,MASSACHUSETTS AVE NW & Driveway-58001342,13,2a7d9608f22d6d3ffe610a14488b770b,6103,,4895538
-8573402.22124971,4708056.53279569,11000402_11064672_15048463,15048463,5586.58691406,INTERSTATE 395   BN & NEW YORK AVE NW,13,7e620166e9c84a7d1b94a3850241b407,3012,,4895541
-8572408.78577591,4705222.99964152,13026912_13064282,13064282,291.35501099,NEW JERSEY AVE SE & D ST SE,,4a1d4719364402ca3d06c73b8e4b522a,2235,,4895555
-8571040.09491034,4706216.88517055,12000802_12025352,12000802,245.50300598,8TH ST NE & CONSTITUTION AVE NE,,cbbab17c6031d1c14645c8145fbedc60,3078b,,4895560
-8575446.61077939,4709374.58200013,11001502_11077672,11077672,2102.85498047,S ST NW & 15TH ST NW,13,2c25166c3a8fb23baa3d58672b4aef1f,1046,,4895562
-8572558.11601825,4714092.25090842,11076702_12043812_15065322,11076702,0,ROCK CREEK CHURCH RD NW & HAWAII AVE NE & NORTH CAPITOL ST BN,13,cc60300233f360e7ab14387780e8f873,5197,,4895568
-8573601.71719396,4718055.37348423,11000402_11021322,11021322,291.54699707,CEDAR ST NW & 4TH ST NW,,26c6b30cd56ae19a2d8b35edfd5d2faf,5009,,4895596
-8574649.36073339,4714733.26650902,11011052_11040042,11011052,1604.89501953,ARKANSAS AVE NW & GEORGIA AVE NW,13,40662f2780663d5179ce691a2044910a,5128a,,4895606
-8572194.53872392,4708676.24609378,12000102_12032172_12036722,12036722,367.42001343,FLORIDA AVE NE & ECKINGTON PL NE & 1ST ST NE,13,fb2ba4911387fac685c89c4a14de8836,3030,,4895639
-8575651.40958359,4716394.49822245,11001602_36004032_36004042,36004032,0,Ramp-36004032 & 16TH ST NW & Ramp-36004042,13,06a8aa0c3e22019e760030e0d51685eb,5239,,4895640
-8578069.73883069,4708107.85557226,11002902_11057852_11069812,11069812,4433.54882813,PENNSYLVANIA AVE NW & 29TH ST NW & M ST NW,13,4160c6f3ff10cfd4469cd16f79a77f87,6011,,4961921
-8568679.72559839,4700363.37262806,13002302_13009362,13009362,2486.9050293,ALABAMA AVE SE & 23RD ST SE,13,3e5051c57aca488d1e68d01660dfa1f6,4088a,,4961969
-8574040.48007234,4708584.7158219,11000702_11065842,11065842,1103.88098145,O ST NW & 7TH ST NW,13,9e88e2933a8113908bbc9be90dae5c80,3022,,4961971
-8570514.23493403,4713491.75713096,12001202_12089112,12001202,3746.72094727,12TH ST NE & VARNUM ST NE,13,66e398cc4b40cd851adea3366307a257,3101,,4961973
-8575995.04537428,4707118.58580522,11001702_11038612,11001702,937.24298096,17TH ST NW & G ST NW,13,0af5b4543da21f114e218c024988252e,1062,,4961974
-8574801.88328353,4708950.08991818,11072862_11089442,11089442,980.41699219,VERMONT AVE NW & Q ST NW,13,3a9834f3b38911343dafd15d6394d905,2155,,4961979
-8574202.5429504,4711653.30740348,11040042_11052322,11052322,684.78497314,KENYON ST NW & GEORGIA AVE NW,13,e0db12969f35fa53cb3207a82716bc46,5136,,4961998
-8576605.7210759,4705488.58972924,14047972_14092362,14047972,3151.65209961,INDEPENDENCE AVE SW & WEST BASIN DR SW,13,162eb51b8dcbb70af66762176ea9e42c,1253,,4962000
-8575657.93801884,4713044.29352298,11001602_11079562,11001602,4445.96777344,16TH ST NW & SHEPHERD ST NW,13,6876e214c71792da2ef446043b8b365f,5083a,,4962010
-8576237.24911395,4709908.00201715,11001802_11019892,11019892,107.40399933,CALIFORNIA ST NW & 18TH ST NW,13,372e5bbe388665f1ac93296dfa162a51,1233,,4962022
-8577526.79071647,4707237.19086817,11002502_11064222,11002502,212.91900635,25TH ST NW & NEW HAMPSHIRE AVE NW,13,c7b5bacb56dccd965cad5254ba1b5100,1187a,,4962025
-8579082.21035527,4709461.42374693,11077672_11094052,11077672,3988.93310547,S ST NW & WISCONSIN AVE NW,13,0b56ed21fdb94cea77bf609468b67886,6249,,4962028
-8571146.12486433,4699266.96179444,13000702_13009362,13009362,315.54299927,ALABAMA AVE SE & 7TH ST SE,13,0c6d9a16c951d6c8280f464ab68aab6f,4223,,4962039
-8574156.41923562,4706805.7452853,11000802_11031332,11000802,148.63999939,8TH ST NW & E ST NW,13,6ef7021d4f15ab724ee56b77234b89ef,2067,,4962090
-8571428.02801497,4705900.96059589,12000602_13000602_15031912,13000602,0,6TH ST SE & 6TH ST NE & EAST CAPITOL ST BN,13,7764879c6009a8756e62b6cd92f440ca,4064,,4962109
